月度标识,地区代码,地区名称,Category,本月出口金额
2004/2/1,330,瑞典,总值,93243
2004/2/1,331,瑞士,总值,66235
2004/2/1,131,沙特阿拉伯,总值,87585
2004/2/1,136,泰国,总值,355733
2004/2/1,137,土耳其,总值,166213
2004/2/1,347,乌克兰,总值,66020
2004/2/1,312,西班牙,总值,292909
2004/2/1,110,香港,总值,5873060
2004/2/1,132,新加坡,总值,737312
2004/2/1,609,新西兰,总值,61893
2004/2/1,307,意大利,总值,478207
2004/2/1,111,印度,总值,302516
2004/2/1,112,印度尼西亚,总值,302837
2004/2/1,303,英国,总值,762712
2004/2/1,141,越南,总值,253935
2004/2/1,412,智利,总值,65689
2004/2/1,309,荷兰,总值,1159712
2004/2/1,121,澳门,总值,91780
2004/2/1,109,朝鲜,总值,43601
2004/2/1,143,台湾省,总值,803346
2004/2/1,113,伊朗,总值,94359
2004/2/1,106,缅甸,总值,55274
2004/2/1,344,俄罗斯联邦,总值,527743
2004/2/1,502,美国,总值,6942677
2004/3/1,601,澳大利亚,总值,687212
2004/3/1,127,巴基斯坦,总值,152613
2004/3/1,410,巴西,总值,231745
2004/3/1,302,丹麦,总值,161266
2004/3/1,304,德国,总值,1812456
2004/3/1,129,菲律宾,总值,350840
2004/3/1,145,哈萨克斯坦,总值,158607
2004/3/1,133,韩国,总值,2038241
2004/3/1,402,阿根廷,总值,47785
2004/3/1,138,阿拉伯联合酋长国,总值,553165
2004/3/1,315,奥地利,总值,57353
2004/3/1,501,加拿大,总值,626038
2004/3/1,328,罗马尼亚,总值,68232
2004/3/1,122,马来西亚,总值,606359
2004/3/1,244,南非,总值,238016
2004/3/1,704,欧洲联盟,总值,8482921
2004/3/1,116,日本,总值,6303213
2004/3/1,330,瑞典,总值,134586
2004/3/1,331,瑞士,总值,97821
2004/3/1,131,沙特阿拉伯,总值,188413
2004/3/1,136,泰国,总值,472388
2004/3/1,137,土耳其,总值,227340
2004/3/1,347,乌克兰,总值,109546
2004/3/1,312,西班牙,总值,425493
2004/3/1,110,香港,总值,7942517
2004/3/1,132,新加坡,总值,885453
2004/3/1,609,新西兰,总值,89888
2004/3/1,307,意大利,总值,709660
2004/3/1,111,印度,总值,386264
2004/3/1,112,印度尼西亚,总值,503833
2004/3/1,303,英国,总值,1071997
2004/3/1,141,越南,总值,310852
2004/3/1,412,智利,总值,125544
2004/3/1,301,比利时,总值,452904
2004/3/1,327,波兰,总值,227793
2004/3/1,305,法国,总值,802685
2004/3/1,318,芬兰,总值,171337
2004/3/1,309,荷兰,总值,1420560
2004/3/1,121,澳门,总值,118274
2004/3/1,143,台湾省,总值,1053317
2004/3/1,109,朝鲜,总值,59258
2004/3/1,113,伊朗,总值,242135
2004/3/1,344,俄罗斯联邦,总值,679619
2004/3/1,106,缅甸,总值,117485
2004/3/1,502,美国,总值,9108474
2004/4/1,402,阿根廷,总值,52968
2004/4/1,138,阿拉伯联合酋长国,总值,626821
2004/4/1,301,比利时,总值,462461
2004/4/1,302,丹麦,总值,151571
2004/4/1,145,哈萨克斯坦,总值,172663
2004/4/1,501,加拿大,总值,650000
2004/4/1,116,日本,总值,6394984
2004/4/1,330,瑞典,总值,147074
2004/4/1,137,土耳其,总值,255589
2004/4/1,347,乌克兰,总值,92267
2004/4/1,312,西班牙,总值,428455
2004/4/1,132,新加坡,总值,916589
2004/4/1,307,意大利,总值,797625
2004/4/1,315,奥地利,总值,71463
2004/4/1,609,新西兰,总值,81402
2004/4/1,111,印度,总值,414537
2004/4/1,112,印度尼西亚,总值,518130
2004/4/1,303,英国,总值,1150362
2004/4/1,141,越南,总值,346099
2004/4/1,412,智利,总值,114092
2004/4/1,601,澳大利亚,总值,665504
2004/4/1,127,巴基斯坦,总值,244119
2004/4/1,410,巴西,总值,348945
2004/4/1,327,波兰,总值,180606
2004/4/1,304,德国,总值,1786837
2004/4/1,305,法国,总值,777209
2004/4/1,129,菲律宾,总值,338419
2004/4/1,318,芬兰,总值,179732
2004/4/1,133,韩国,总值,2206726
2004/4/1,328,罗马尼亚,总值,55463
2004/4/1,122,马来西亚,总值,643569
2004/4/1,244,南非,总值,221872
2004/4/1,704,欧洲联盟,总值,8493613
2004/4/1,331,瑞士,总值,97629
2004/4/1,131,沙特阿拉伯,总值,202271
2004/4/1,136,泰国,总值,426292
2004/4/1,110,香港,总值,7986866
2004/4/1,344,俄罗斯联邦,总值,527330
2004/4/1,109,朝鲜,总值,53597
2004/4/1,143,台湾省,总值,1088466
2004/4/1,121,澳门,总值,126414
2004/4/1,502,美国,总值,9970214
2004/4/1,113,伊朗,总值,153815
2004/4/1,106,缅甸,总值,70866
2004/4/1,309,荷兰,总值,1401184
2004/5/1,127,巴基斯坦,总值,195497
2004/5/1,410,巴西,总值,306335
2004/5/1,304,德国,总值,1723390
2004/5/1,133,韩国,总值,2144133
2004/5/1,244,南非,总值,221976
2004/5/1,116,日本,总值,5373171
2004/5/1,330,瑞典,总值,184145
2004/5/1,131,沙特阿拉伯,总值,213668
2004/5/1,136,泰国,总值,397647
2004/5/1,137,土耳其,总值,247672
2004/5/1,347,乌克兰,总值,91535
2004/5/1,110,香港,总值,7679146
2004/5/1,132,新加坡,总值,993474
2004/5/1,307,意大利,总值,807722
2004/5/1,112,印度尼西亚,总值,471665
2004/5/1,141,越南,总值,323839
2004/5/1,402,阿根廷,总值,65657
2004/5/1,138,阿拉伯联合酋长国,总值,566954
2004/5/1,315,奥地利,总值,49089
2004/5/1,601,澳大利亚,总值,618851
2004/5/1,301,比利时,总值,432411
2004/5/1,327,波兰,总值,175586
2004/5/1,302,丹麦,总值,115941
2004/5/1,305,法国,总值,834986
2004/5/1,129,菲律宾,总值,361561
2004/5/1,318,芬兰,总值,174937
2004/5/1,145,哈萨克斯坦,总值,129021
2004/5/1,501,加拿大,总值,598648
2004/5/1,328,罗马尼亚,总值,60869
2004/5/1,122,马来西亚,总值,594589
2004/5/1,704,欧洲联盟,总值,8156113
2004/5/1,331,瑞士,总值,93278
2004/5/1,312,西班牙,总值,445041
2004/5/1,609,新西兰,总值,69733
2004/5/1,111,印度,总值,443857
2004/5/1,303,英国,总值,1107504
2004/5/1,412,智利,总值,105271
2004/5/1,106,缅甸,总值,70023
2004/5/1,309,荷兰,总值,1343486
2004/5/1,109,朝鲜,总值,105848
2004/5/1,121,澳门,总值,131261
2004/5/1,143,台湾省,总值,1106036
2004/5/1,113,伊朗,总值,183082
2004/5/1,502,美国,总值,9504158
2004/5/1,344,俄罗斯联邦,总值,523084
2004/6/1,302,丹麦,总值,144146
2004/6/1,129,菲律宾,总值,393889
2004/6/1,122,马来西亚,总值,756033
2004/6/1,704,欧洲联盟,总值,8674820
2004/6/1,116,日本,总值,6023537
2004/6/1,330,瑞典,总值,139466
2004/6/1,137,土耳其,总值,251255
2004/6/1,347,乌克兰,总值,125581
2004/6/1,609,新西兰,总值,83870
2004/6/1,402,阿根廷,总值,85073
2004/6/1,138,阿拉伯联合酋长国,总值,619851
2004/6/1,315,奥地利,总值,62578
2004/6/1,601,澳大利亚,总值,731342
2004/6/1,127,巴基斯坦,总值,195954
2004/6/1,410,巴西,总值,399123
2004/6/1,301,比利时,总值,488554
2004/6/1,327,波兰,总值,125748
2004/6/1,304,德国,总值,1880801
2004/6/1,305,法国,总值,828836
2004/6/1,318,芬兰,总值,176077
2004/6/1,145,哈萨克斯坦,总值,102473
2004/6/1,133,韩国,总值,2386944
2004/6/1,501,加拿大,总值,718236
2004/6/1,328,罗马尼亚,总值,99350
2004/6/1,244,南非,总值,243679
2004/6/1,331,瑞士,总值,155011
2004/6/1,131,沙特阿拉伯,总值,253066
2004/6/1,136,泰国,总值,453904
2004/6/1,312,西班牙,总值,504977
2004/6/1,110,香港,总值,8553094
2004/6/1,132,新加坡,总值,1171019
2004/6/1,307,意大利,总值,897689
2004/6/1,111,印度,总值,578959
2004/6/1,112,印度尼西亚,总值,526881
2004/6/1,303,英国,总值,1231738
2004/6/1,141,越南,总值,355744
2004/6/1,412,智利,总值,165145
2004/6/1,106,缅甸,总值,73052
2004/6/1,309,荷兰,总值,1361723
2004/6/1,109,朝鲜,总值,64796
2004/6/1,121,澳门,总值,144256
2004/6/1,143,台湾省,总值,1242890
2004/6/1,502,美国,总值,10917761
2004/6/1,113,伊朗,总值,268507
2004/6/1,344,俄罗斯联邦,总值,565395
2005/1/1,402,阿根廷,总值,62880
2005/1/1,129,菲律宾,总值,332216
2005/1/1,331,瑞士,总值,172745
2005/1/1,303,英国,总值,1319699
2005/1/1,138,阿拉伯联合酋长国,总值,607855
2005/1/1,318,芬兰,总值,249995
2005/1/1,131,沙特阿拉伯,总值,229048
2005/1/1,141,越南,总值,356809
2005/1/1,315,奥地利,总值,71023
2005/1/1,145,哈萨克斯坦,总值,159606
2005/1/1,412,智利,总值,356809
2005/1/1,601,澳大利亚,总值,789650
2005/1/1,133,韩国,总值,2578132
2005/1/1,136,泰国,总值,493134
2005/1/1,137,土耳其,总值,260647
2005/1/1,127,巴基斯坦,总值,196411
2005/1/1,501,加拿大,总值,785485
2005/1/1,347,乌克兰,总值,150445
2005/1/1,410,巴西,总值,293494
2005/1/1,328,罗马尼亚,总值,102256
2005/1/1,312,西班牙,总值,638199
2005/1/1,301,比利时,总值,635478
2005/1/1,122,马来西亚,总值,694724
2005/1/1,110,香港,总值,7019180
2005/1/1,327,波兰,总值,191213
2005/1/1,132,新加坡,总值,1039430
2005/1/1,609,新西兰,总值,97942
2005/1/1,302,丹麦,总值,257816
2005/1/1,244,南非,总值,282033
2005/1/1,304,德国,总值,2243725
2005/1/1,704,欧洲联盟,总值,10515702
2005/1/1,307,意大利,总值,890412
2005/1/1,116,日本,总值,5944434
2005/1/1,111,印度,总值,604507
2005/1/1,305,法国,总值,886332
2005/1/1,330,瑞典,总值,200257
2005/1/1,112,印度尼西亚,总值,584436
2005/1/1,344,俄罗斯联邦,总值,681096
2005/1/1,309,荷兰,总值,1957395
2005/1/1,121,澳门,总值,108881
2005/1/1,143,台湾省,总值,1141884
2005/1/1,502,美国,总值,10850085
2005/1/1,113,伊朗,总值,258943
2005/1/1,106,缅甸,总值,59647
2005/1/1,109,朝鲜,总值,63094
2005/2/1,402,阿根廷,总值,69397
2005/2/1,138,阿拉伯联合酋长国,总值,434157
2005/2/1,601,澳大利亚,总值,647127
2005/2/1,410,巴西,总值,296775
2005/2/1,315,奥地利,总值,57613
2005/2/1,127,巴基斯坦,总值,163656
2005/2/1,327,波兰,总值,182355
2005/2/1,304,德国,总值,2096540
2005/2/1,301,比利时,总值,568718
2005/2/1,302,丹麦,总值,162470
2005/2/1,318,芬兰,总值,219844
2005/2/1,129,菲律宾,总值,266296
2005/2/1,305,法国,总值,791899
2005/2/1,133,韩国,总值,1934911
2005/2/1,145,哈萨克斯坦,总值,141868
2005/2/1,501,加拿大,总值,680089
2005/2/1,122,马来西亚,总值,583156
2005/2/1,328,罗马尼亚,总值,72325
2005/2/1,330,瑞典,总值,158931
2005/2/1,704,欧洲联盟,总值,9395976
2005/2/1,116,日本,总值,5367280
2005/2/1,244,南非,总值,215061
2005/2/1,136,泰国,总值,524199
2005/2/1,331,瑞士,总值,122972
2005/2/1,131,沙特阿拉伯,总值,163921
2005/2/1,347,乌克兰,总值,120041
2005/2/1,137,土耳其,总值,244802
2005/2/1,312,西班牙,总值,542919
2005/2/1,609,新西兰,总值,76922
2005/2/1,132,新加坡,总值,886798
2005/2/1,110,香港,总值,6811116
2005/2/1,303,英国,总值,1135746
2005/2/1,307,意大利,总值,876873
2005/2/1,112,印度尼西亚,总值,536865
2005/2/1,111,印度,总值,500816
2005/2/1,412,智利,总值,126900
2005/2/1,141,越南,总值,284396
2005/2/1,106,缅甸,总值,50330
2005/2/1,309,荷兰,总值,1708277
2005/2/1,143,台湾省,总值,953916
2005/2/1,121,澳门,总值,55889
2005/2/1,344,俄罗斯联邦,总值,570114
2005/2/1,113,伊朗,总值,259005
2005/2/1,109,朝鲜,总值,44341
2005/2/1,502,美国,总值,9171145
2005/3/1,312,西班牙,总值,633165
2005/3/1,110,香港,总值,10014914
2005/3/1,111,印度,总值,632577
2005/3/1,402,阿根廷,总值,83981
2005/3/1,138,阿拉伯联合酋长国,总值,647454
2005/3/1,127,巴基斯坦,总值,204468
2005/3/1,601,澳大利亚,总值,893907
2005/3/1,410,巴西,总值,339824
2005/3/1,315,奥地利,总值,78760
2005/3/1,327,波兰,总值,185172
2005/3/1,304,德国,总值,2514027
2005/3/1,301,比利时,总值,641531
2005/3/1,302,丹麦,总值,192771
2005/3/1,145,哈萨克斯坦,总值,229260
2005/3/1,318,芬兰,总值,263214
2005/3/1,129,菲律宾,总值,394498
2005/3/1,305,法国,总值,898531
2005/3/1,133,韩国,总值,3229473
2005/3/1,328,罗马尼亚,总值,101603
2005/3/1,501,加拿大,总值,840122
2005/3/1,122,马来西亚,总值,776466
2005/3/1,330,瑞典,总值,180175
2005/3/1,704,欧洲联盟,总值,11233058
2005/3/1,116,日本,总值,7896888
2005/3/1,244,南非,总值,269873
2005/3/1,136,泰国,总值,820400
2005/3/1,331,瑞士,总值,132111
2005/3/1,131,沙特阿拉伯,总值,240468
2005/3/1,347,乌克兰,总值,136538
2005/3/1,137,土耳其,总值,326051
2005/3/1,609,新西兰,总值,104375
2005/3/1,132,新加坡,总值,1300716
2005/3/1,303,英国,总值,1379362
2005/3/1,112,印度尼西亚,总值,747174
2005/3/1,307,意大利,总值,987260
2005/3/1,412,智利,总值,141752
2005/3/1,141,越南,总值,504515
2005/3/1,109,朝鲜,总值,107449
2005/3/1,113,伊朗,总值,203957
2005/3/1,121,澳门,总值,96422
2005/3/1,344,俄罗斯联邦,总值,880505
2005/3/1,106,缅甸,总值,76914
2005/3/1,143,台湾省,总值,1536676
2005/3/1,309,荷兰,总值,2137699
2005/3/1,502,美国,总值,12487095
2005/4/1,127,巴基斯坦,总值,277233
2005/4/1,410,巴西,总值,392172
2005/4/1,302,丹麦,总值,176353
2005/4/1,402,阿根廷,总值,87619
2005/4/1,138,阿拉伯联合酋长国,总值,731687
2005/4/1,601,澳大利亚,总值,853312
2005/4/1,315,奥地利,总值,77110
2005/4/1,327,波兰,总值,206429
2005/4/1,304,德国,总值,2594822
2005/4/1,301,比利时,总值,616195
2005/4/1,145,哈萨克斯坦,总值,263245
2005/4/1,318,芬兰,总值,229201
2005/4/1,129,菲律宾,总值,407633
2005/4/1,305,法国,总值,898225
2005/4/1,133,韩国,总值,3107023
2005/4/1,328,罗马尼亚,总值,111755
2005/4/1,501,加拿大,总值,907871
2005/4/1,244,南非,总值,305324
2005/4/1,122,马来西亚,总值,820716
2005/4/1,330,瑞典,总值,221551
2005/4/1,704,欧洲联盟,总值,11439943
2005/4/1,116,日本,总值,7456669
2005/4/1,136,泰国,总值,699632
2005/4/1,331,瑞士,总值,135143
2005/4/1,131,沙特阿拉伯,总值,282995
2005/4/1,347,乌克兰,总值,171774
2005/4/1,137,土耳其,总值,342875
2005/4/1,110,香港,总值,9842949
2005/4/1,312,西班牙,总值,696654
2005/4/1,609,新西兰,总值,92119
2005/4/1,132,新加坡,总值,1357288
2005/4/1,307,意大利,总值,1018428
2005/4/1,303,英国,总值,1547709
2005/4/1,112,印度尼西亚,总值,882119
2005/4/1,141,越南,总值,506034
2005/4/1,111,印度,总值,670338
2005/4/1,412,智利,总值,151823
2005/4/1,106,缅甸,总值,87093
2005/4/1,143,台湾省,总值,1359874
2005/4/1,121,澳门,总值,104163
2005/4/1,344,俄罗斯联邦,总值,914917
2005/4/1,109,朝鲜,总值,101464
2005/4/1,309,荷兰,总值,1982979
2005/4/1,502,美国,总值,13247676
2005/4/1,113,伊朗,总值,258862
2005/5/1,402,阿根廷,总值,84186
2005/5/1,315,奥地利,总值,66613
2005/5/1,138,阿拉伯联合酋长国,总值,817840
2005/5/1,127,巴基斯坦,总值,221199
2005/5/1,601,澳大利亚,总值,784072
2005/5/1,410,巴西,总值,376321
2005/5/1,327,波兰,总值,195053
2005/5/1,304,德国,总值,2550730
2005/5/1,301,比利时,总值,632128
2005/5/1,302,丹麦,总值,229173
2005/5/1,305,法国,总值,945326
2005/5/1,145,哈萨克斯坦,总值,236696
2005/5/1,318,芬兰,总值,228494
2005/5/1,129,菲律宾,总值,396714
2005/5/1,133,韩国,总值,2921814
2005/5/1,328,罗马尼亚,总值,102556
2005/5/1,501,加拿大,总值,835899
2005/5/1,244,南非,总值,285647
2005/5/1,122,马来西亚,总值,818905
2005/5/1,330,瑞典,总值,195199
2005/5/1,704,欧洲联盟,总值,11259279
2005/5/1,116,日本,总值,6326221
2005/5/1,331,瑞士,总值,130643
2005/5/1,136,泰国,总值,653500
2005/5/1,131,沙特阿拉伯,总值,333575
2005/5/1,347,乌克兰,总值,200353
2005/5/1,137,土耳其,总值,356149
2005/5/1,110,香港,总值,8863109
2005/5/1,312,西班牙,总值,740058
2005/5/1,609,新西兰,总值,102351
2005/5/1,307,意大利,总值,950807
2005/5/1,132,新加坡,总值,1295718
2005/5/1,303,英国,总值,1487244
2005/5/1,141,越南,总值,512446
2005/5/1,112,印度尼西亚,总值,652059
2005/5/1,111,印度,总值,677417
2005/5/1,412,智利,总值,150644
2005/5/1,113,伊朗,总值,215444
2005/5/1,109,朝鲜,总值,99303
2005/5/1,344,俄罗斯联邦,总值,798046
2005/5/1,143,台湾省,总值,1340091
2005/5/1,121,澳门,总值,112442
2005/5/1,106,缅甸,总值,76642
2005/5/1,502,美国,总值,12587340
2005/5/1,309,荷兰,总值,1888949
2005/6/1,402,阿根廷,总值,135873
2005/6/1,315,奥地利,总值,76982
2005/6/1,138,阿拉伯联合酋长国,总值,845191
2005/6/1,127,巴基斯坦,总值,332694
2005/6/1,601,澳大利亚,总值,882745
2005/6/1,410,巴西,总值,441810
2005/6/1,327,波兰,总值,199566
2005/6/1,304,德国,总值,2562600
2005/6/1,301,比利时,总值,687738
2005/6/1,302,丹麦,总值,270072
2005/6/1,305,法国,总值,1029331
2005/6/1,145,哈萨克斯坦,总值,310622
2005/6/1,318,芬兰,总值,278954
2005/6/1,129,菲律宾,总值,442401
2005/6/1,133,韩国,总值,3190182
2005/6/1,328,罗马尼亚,总值,118333
2005/6/1,501,加拿大,总值,1061862
2005/6/1,244,南非,总值,314559
2005/6/1,122,马来西亚,总值,959795
2005/6/1,330,瑞典,总值,206941
2005/6/1,704,欧洲联盟,总值,11991219
2005/6/1,116,日本,总值,7306589
2005/6/1,331,瑞士,总值,193435
2005/6/1,137,土耳其,总值,409742
2005/6/1,136,泰国,总值,698066
2005/6/1,131,沙特阿拉伯,总值,388387
2005/6/1,347,乌克兰,总值,208954
2005/6/1,132,新加坡,总值,1436223
2005/6/1,110,香港,总值,10434167
2005/6/1,312,西班牙,总值,836090
2005/6/1,609,新西兰,总值,114040
2005/6/1,307,意大利,总值,1084649
2005/6/1,303,英国,总值,1658771
2005/6/1,141,越南,总值,467385
2005/6/1,111,印度,总值,790736
2005/6/1,112,印度尼西亚,总值,768396
2005/6/1,412,智利,总值,189250
2005/6/1,106,缅甸,总值,69328
2005/6/1,143,台湾省,总值,1420950
2005/6/1,344,俄罗斯联邦,总值,973064
2005/6/1,121,澳门,总值,129020
2005/6/1,113,伊朗,总值,306923
2005/6/1,502,美国,总值,14342562
2005/6/1,109,朝鲜,总值,94942
2005/6/1,309,荷兰,总值,1955359
2005/7/1,402,阿根廷,总值,130621
2005/7/1,315,奥地利,总值,74684
2005/7/1,138,阿拉伯联合酋长国,总值,707730
2005/7/1,127,巴基斯坦,总值,383885
2005/7/1,601,澳大利亚,总值,895587
2005/7/1,410,巴西,总值,457768
2005/7/1,327,波兰,总值,249475
2005/7/1,304,德国,总值,2703153
2005/7/1,301,比利时,总值,690378
2005/7/1,302,丹麦,总值,256195
2005/7/1,305,法国,总值,1016622
2005/7/1,145,哈萨克斯坦,总值,358985
2005/7/1,318,芬兰,总值,284913
2005/7/1,129,菲律宾,总值,411659
2005/7/1,133,韩国,总值,2846714
2005/7/1,122,马来西亚,总值,987177
2005/7/1,328,罗马尼亚,总值,133124
2005/7/1,501,加拿大,总值,1086650
2005/7/1,244,南非,总值,322195
2005/7/1,330,瑞典,总值,246625
2005/7/1,704,欧洲联盟,总值,12134281
2005/7/1,116,日本,总值,6903491
2005/7/1,331,瑞士,总值,217401
2005/7/1,137,土耳其,总值,351973
2005/7/1,136,泰国,总值,685076
2005/7/1,131,沙特阿拉伯,总值,390275
2005/7/1,347,乌克兰,总值,240766
2005/7/1,132,新加坡,总值,1443258
2005/7/1,110,香港,总值,10234468
2005/7/1,312,西班牙,总值,810604
2005/7/1,609,新西兰,总值,125489
2005/7/1,307,意大利,总值,1008285
2005/7/1,141,越南,总值,455833
2005/7/1,111,印度,总值,794258
2005/7/1,303,英国,总值,1643096
2005/7/1,112,印度尼西亚,总值,879768
2005/7/1,412,智利,总值,199504
2005/7/1,502,美国,总值,14248208
2005/7/1,113,伊朗,总值,312538
2005/7/1,109,朝鲜,总值,107876
2005/7/1,344,俄罗斯联邦,总值,1236137
2005/7/1,143,台湾省,总值,1411543
2005/7/1,309,荷兰,总值,1971424
2005/7/1,121,澳门,总值,163424
2005/7/1,106,缅甸,总值,68214
2005/8/1,402,阿根廷,总值,145057
2005/8/1,315,奥地利,总值,77183
2005/8/1,127,巴基斯坦,总值,356675
2005/8/1,138,阿拉伯联合酋长国,总值,774232
2005/8/1,601,澳大利亚,总值,1062876
2005/8/1,410,巴西,总值,479331
2005/8/1,327,波兰,总值,232868
2005/8/1,304,德国,总值,2894408
2005/8/1,301,比利时,总值,638799
2005/8/1,302,丹麦,总值,253795
2005/8/1,305,法国,总值,1027191
2005/8/1,145,哈萨克斯坦,总值,349317
2005/8/1,318,芬兰,总值,308140
2005/8/1,129,菲律宾,总值,396961
2005/8/1,133,韩国,总值,2797275
2005/8/1,122,马来西亚,总值,1003590
2005/8/1,328,罗马尼亚,总值,157066
2005/8/1,501,加拿大,总值,1136275
2005/8/1,244,南非,总值,380323
2005/8/1,704,欧洲联盟,总值,12805733
2005/8/1,330,瑞典,总值,246193
2005/8/1,116,日本,总值,7106060
2005/8/1,331,瑞士,总值,201567
2005/8/1,137,土耳其,总值,386729
2005/8/1,136,泰国,总值,618304
2005/8/1,131,沙特阿拉伯,总值,425925
2005/8/1,347,乌克兰,总值,258080
2005/8/1,132,新加坡,总值,1578227
2005/8/1,110,香港,总值,10699694
2005/8/1,312,西班牙,总值,730662
2005/8/1,609,新西兰,总值,132263
2005/8/1,111,印度,总值,833548
2005/8/1,307,意大利,总值,1102043
2005/8/1,412,智利,总值,209485
2005/8/1,141,越南,总值,559888
2005/8/1,303,英国,总值,1769705
2005/8/1,112,印度尼西亚,总值,771958
2005/8/1,106,缅甸,总值,80897
2005/8/1,113,伊朗,总值,280927
2005/8/1,109,朝鲜,总值,105206
2005/8/1,502,美国,总值,14894488
2005/8/1,344,俄罗斯联邦,总值,1474594
2005/8/1,143,台湾省,总值,1396414
2005/8/1,309,荷兰,总值,2230037
2005/8/1,121,澳门,总值,154894
2005/10/1,402,阿根廷,总值,136505
2005/10/1,601,澳大利亚,总值,1074634
2005/10/1,315,奥地利,总值,66016
2005/10/1,138,阿拉伯联合酋长国,总值,715585
2005/10/1,127,巴基斯坦,总值,309778
2005/10/1,302,丹麦,总值,222192
2005/10/1,410,巴西,总值,421376
2005/10/1,327,波兰,总值,241791
2005/10/1,304,德国,总值,3007099
2005/10/1,301,比利时,总值,601665
2005/10/1,129,菲律宾,总值,413776
2005/10/1,305,法国,总值,981811
2005/10/1,145,哈萨克斯坦,总值,378910
2005/10/1,318,芬兰,总值,369112
2005/10/1,133,韩国,总值,2965470
2005/10/1,122,马来西亚,总值,866173
2005/10/1,328,罗马尼亚,总值,115048
2005/10/1,501,加拿大,总值,1177608
2005/10/1,244,南非,总值,399164
2005/10/1,704,欧洲联盟,总值,12873297
2005/10/1,131,沙特阿拉伯,总值,311727
2005/10/1,330,瑞典,总值,213317
2005/10/1,116,日本,总值,6930785
2005/10/1,331,瑞士,总值,133646
2005/10/1,137,土耳其,总值,398088
2005/10/1,136,泰国,总值,577088
2005/10/1,347,乌克兰,总值,245582
2005/10/1,132,新加坡,总值,1398857
2005/10/1,110,香港,总值,11436277
2005/10/1,312,西班牙,总值,636877
2005/10/1,609,新西兰,总值,122374
2005/10/1,111,印度,总值,840321
2005/10/1,307,意大利,总值,866755
2005/10/1,412,智利,总值,194125
2005/10/1,141,越南,总值,438146
2005/10/1,303,英国,总值,1715907
2005/10/1,112,印度尼西亚,总值,455860
2005/10/1,106,缅甸,总值,58079
2005/10/1,344,俄罗斯联邦,总值,1437308
2005/10/1,121,澳门,总值,164812
2005/10/1,113,伊朗,总值,296151
2005/10/1,309,荷兰,总值,2623641
2005/10/1,143,台湾省,总值,1406287
2005/10/1,502,美国,总值,15179612
2005/10/1,109,朝鲜,总值,97158
2005/11/1,402,阿根廷,总值,129380
2005/11/1,601,澳大利亚,总值,1163058
2005/11/1,315,奥地利,总值,75759
