月度标识,地区代码,地区名称,Category,本月进口金额
2025/3/4,609,新西兰,总值,129780
2025/3/4,307,意大利,总值,515158
2025/3/4,111,印度,总值,880361
2025/3/4,112,印度尼西亚,总值,533251
2025/3/4,303,英国,总值,438923
2025/3/4,141,越南,总值,220857
2025/3/4,412,智利,总值,231007
2025/3/4,309,荷兰,总值,226708
2025/3/4,121,澳门,总值,16147
2025/3/4,143,台湾省,总值,5323173
2025/3/4,109,朝鲜,总值,30457
2025/3/4,113,伊朗,总值,396256
2025/3/4,344,俄罗斯联邦,总值,1053419
2025/3/4,106,缅甸,总值,24635
2025/3/4,502,美国,总值,4087587
2025/4/4,402,阿根廷,总值,196317
2025/4/4,138,阿拉伯联合酋长国,总值,98370
2025/4/4,315,奥地利,总值,123489
2025/4/4,601,澳大利亚,总值,978239
2025/4/4,127,巴基斯坦,总值,52628
2025/4/4,410,巴西,总值,707221
2025/4/4,301,比利时,总值,305714
2025/4/4,327,波兰,总值,76898
2025/4/4,302,丹麦,总值,90330
2025/4/4,304,德国,总值,2670448
2025/4/4,305,法国,总值,695322
2025/4/4,129,菲律宾,总值,639418
2025/4/4,318,芬兰,总值,249538
2025/4/4,145,哈萨克斯坦,总值,186273
2025/4/4,133,韩国,总值,5383602
2025/4/4,501,加拿大,总值,686572
2025/4/4,328,罗马尼亚,总值,39502
2025/4/4,122,马来西亚,总值,1619756
2025/4/4,244,南非,总值,301468
2025/4/4,704,欧洲联盟,总值,6184540
2025/4/4,116,日本,总值,8649433
2025/4/4,330,瑞典,总值,302688
2025/4/4,331,瑞士,总值,276269
2025/4/4,131,沙特阿拉伯,总值,424099
2025/4/4,136,泰国,总值,900557
2025/4/4,137,土耳其,总值,65871
2025/4/4,347,乌克兰,总值,205685
2025/4/4,312,西班牙,总值,185252
2025/4/4,110,香港,总值,992482
2025/4/4,132,新加坡,总值,1296712
2025/4/4,609,新西兰,总值,150291
2025/4/4,307,意大利,总值,558556
2025/4/4,111,印度,总值,838120
2025/4/4,112,印度尼西亚,总值,658934
2025/4/4,303,英国,总值,424890
2025/4/4,141,越南,总值,206410
2025/4/4,412,智利,总值,410470
2025/4/4,344,俄罗斯联邦,总值,1226778
2025/4/4,109,朝鲜,总值,30634
2025/4/4,143,台湾省,总值,5761969
2025/4/4,121,澳门,总值,17429
2025/4/4,502,美国,总值,4354080
2025/4/4,106,缅甸,总值,23287
2025/4/4,113,伊朗,总值,315452
2025/4/4,309,荷兰,总值,219504
2025/5/4,402,阿根廷,总值,130416
2025/5/4,138,阿拉伯联合酋长国,总值,83110
2025/5/4,315,奥地利,总值,113618
2025/5/4,601,澳大利亚,总值,800613
2025/5/4,127,巴基斯坦,总值,46322
2025/5/4,410,巴西,总值,735529
2025/5/4,301,比利时,总值,274667
2025/5/4,327,波兰,总值,23143
2025/5/4,302,丹麦,总值,89561
2025/5/4,304,德国,总值,2637554
2025/5/4,305,法国,总值,566693
2025/5/4,129,菲律宾,总值,645227
2025/5/4,318,芬兰,总值,179946
2025/5/4,145,哈萨克斯坦,总值,163536
2025/5/4,133,韩国,总值,4871088
2025/5/4,501,加拿大,总值,566423
2025/5/4,328,罗马尼亚,总值,23506
2025/5/4,122,马来西亚,总值,1344231
2025/5/4,244,南非,总值,257041
2025/5/4,704,欧洲联盟,总值,5675267
2025/5/4,116,日本,总值,7003552
2025/5/4,330,瑞典,总值,310933
2025/5/4,331,瑞士,总值,275723
2025/5/4,131,沙特阿拉伯,总值,607228
2025/5/4,136,泰国,总值,820978
2025/5/4,137,土耳其,总值,23725
2025/5/4,347,乌克兰,总值,109441
2025/5/4,312,西班牙,总值,128695
2025/5/4,110,香港,总值,941915
2025/5/4,132,新加坡,总值,1096823
2025/5/4,609,新西兰,总值,124027
2025/5/4,307,意大利,总值,506327
2025/5/4,111,印度,总值,625968
2025/5/4,112,印度尼西亚,总值,555259
2025/5/4,303,英国,总值,374786
2025/5/4,141,越南,总值,174709
2025/5/4,412,智利,总值,244284
2025/5/4,106,缅甸,总值,17216
2025/5/4,309,荷兰,总值,218151
2025/5/4,109,朝鲜,总值,25647
2025/5/4,121,澳门,总值,19723
2025/5/4,143,台湾省,总值,5084784
2025/5/4,113,伊朗,总值,392256
2025/5/4,502,美国,总值,3437581
2025/5/4,344,俄罗斯联邦,总值,957518
2025/6/4,402,阿根廷,总值,390332
2025/6/4,138,阿拉伯联合酋长国,总值,140674
2025/6/4,315,奥地利,总值,142621
2025/6/4,601,澳大利亚,总值,966051
2025/6/4,127,巴基斯坦,总值,52616
2025/6/4,410,巴西,总值,965594
2025/6/4,301,比利时,总值,318772
2025/6/4,327,波兰,总值,43679
2025/6/4,302,丹麦,总值,107988
2025/6/4,304,德国,总值,2743950
2025/6/4,305,法国,总值,578350
2025/6/4,129,菲律宾,总值,699888
2025/6/4,318,芬兰,总值,221065
2025/6/4,145,哈萨克斯坦,总值,132267
2025/6/4,133,韩国,总值,5254241
2025/6/4,501,加拿大,总值,784014
2025/6/4,328,罗马尼亚,总值,30750
2025/6/4,122,马来西亚,总值,1616907
2025/6/4,244,南非,总值,261752
2025/6/4,704,欧洲联盟,总值,6361386
2025/6/4,116,日本,总值,8231683
2025/6/4,330,瑞典,总值,294304
2025/6/4,331,瑞士,总值,345896
2025/6/4,131,沙特阿拉伯,总值,640506
2025/6/4,136,泰国,总值,975243
2025/6/4,137,土耳其,总值,38747
2025/6/4,347,乌克兰,总值,148497
2025/6/4,312,西班牙,总值,164935
2025/6/4,110,香港,总值,989286
2025/6/4,132,新加坡,总值,1111193
2025/6/4,609,新西兰,总值,147073
2025/6/4,307,意大利,总值,594779
2025/6/4,111,印度,总值,647372
2025/6/4,112,印度尼西亚,总值,679479
2025/6/4,303,英国,总值,435614
2025/6/4,141,越南,总值,315399
2025/6/4,412,智利,总值,291843
2025/6/4,106,缅甸,总值,19107
2025/6/4,309,荷兰,总值,441262
2025/6/4,109,朝鲜,总值,50459
2025/6/4,121,澳门,总值,21009
2025/6/4,143,台湾省,总值,5426981
2025/6/4,502,美国,总值,3667189
2025/6/4,113,伊朗,总值,267056
2025/6/4,344,俄罗斯联邦,总值,1254867
2025/1/5,402,阿根廷,总值,203880
2025/1/5,131,沙特阿拉伯,总值,605921
2025/1/5,318,芬兰,总值,231943
2025/1/5,138,阿拉伯联合酋长国,总值,142432
2025/1/5,412,智利,总值,435738
2025/1/5,315,奥地利,总值,107350
2025/1/5,145,哈萨克斯坦,总值,288879
2025/1/5,136,泰国,总值,933585
2025/1/5,133,韩国,总值,5190525
2025/1/5,601,澳大利亚,总值,1106490
2025/1/5,137,土耳其,总值,39794
2025/1/5,347,乌克兰,总值,28774
2025/1/5,127,巴基斯坦,总值,55826
2025/1/5,501,加拿大,总值,584332
2025/1/5,312,西班牙,总值,117080
2025/1/5,410,巴西,总值,622122
2025/1/5,328,罗马尼亚,总值,17009
2025/1/5,301,比利时,总值,292255
2025/1/5,110,香港,总值,932665
2025/1/5,122,马来西亚,总值,1454711
2025/1/5,327,波兰,总值,26713
2025/1/5,132,新加坡,总值,1254664
2025/1/5,609,新西兰,总值,128409
2025/1/5,302,丹麦,总值,86279
2025/1/5,304,德国,总值,2296320
2025/1/5,244,南非,总值,226484
2025/1/5,307,意大利,总值,501412
2025/1/5,704,欧洲联盟,总值,5370403
2025/1/5,111,印度,总值,765302
2025/1/5,305,法国,总值,602795
2025/1/5,116,日本,总值,6892792
2025/1/5,112,印度尼西亚,总值,582884
2025/1/5,129,菲律宾,总值,757888
2025/1/5,330,瑞典,总值,240285
2025/1/5,303,英国,总值,373954
2025/1/5,331,瑞士,总值,276098
2025/1/5,141,越南,总值,190366
2025/1/5,344,俄罗斯联邦,总值,970109
2025/1/5,309,荷兰,总值,263514
2025/1/5,121,澳门,总值,14078
2025/1/5,143,台湾省,总值,5068926
2025/1/5,502,美国,总值,3473546
2025/1/5,113,伊朗,总值,367931
2025/1/5,106,缅甸,总值,22780
2025/1/5,109,朝鲜,总值,31046
2025/2/5,402,阿根廷,总值,98948
2025/2/5,138,阿拉伯联合酋长国,总值,130751
2025/2/5,601,澳大利亚,总值,853847
2025/2/5,410,巴西,总值,474348
2025/2/5,315,奥地利,总值,112811
2025/2/5,127,巴基斯坦,总值,42576
2025/2/5,301,比利时,总值,231743
2025/2/5,302,丹麦,总值,74200
2025/2/5,327,波兰,总值,47216
2025/2/5,305,法国,总值,489278
2025/2/5,304,德国,总值,1723837
2025/2/5,145,哈萨克斯坦,总值,253890
2025/2/5,133,韩国,总值,4851501
2025/2/5,129,菲律宾,总值,771579
2025/2/5,318,芬兰,总值,141028
2025/2/5,328,罗马尼亚,总值,13486
2025/2/5,501,加拿大,总值,491739
2025/2/5,122,马来西亚,总值,1226550
2025/2/5,244,南非,总值,236397
2025/2/5,330,瑞典,总值,220136
2025/2/5,116,日本,总值,6322891
2025/2/5,704,欧洲联盟,总值,4261935
2025/2/5,136,泰国,总值,898740
2025/2/5,331,瑞士,总值,241233
2025/2/5,131,沙特阿拉伯,总值,884024
2025/2/5,137,土耳其,总值,29803
2025/2/5,347,乌克兰,总值,54092
2025/2/5,312,西班牙,总值,95148
2025/2/5,609,新西兰,总值,80173
2025/2/5,132,新加坡,总值,1007586
2025/2/5,112,印度尼西亚,总值,580440
2025/2/5,110,香港,总值,733199
2025/2/5,111,印度,总值,776215
2025/2/5,307,意大利,总值,453806
2025/2/5,141,越南,总值,141381
2025/2/5,303,英国,总值,307328
2025/2/5,412,智利,总值,308126
2025/2/5,106,缅甸,总值,18037
2025/2/5,309,荷兰,总值,170822
2025/2/5,143,台湾省,总值,4314508
2025/2/5,121,澳门,总值,9512
2025/2/5,344,俄罗斯联邦,总值,905321
2025/2/5,113,伊朗,总值,472895
2025/2/5,109,朝鲜,总值,18341
2025/2/5,502,美国,总值,3080792
2025/3/5,402,阿根廷,总值,119940
2025/3/5,138,阿拉伯联合酋长国,总值,311136
2025/3/5,601,澳大利亚,总值,1290734
2025/3/5,410,巴西,总值,603213
2025/3/5,315,奥地利,总值,127891
2025/3/5,127,巴基斯坦,总值,58057
2025/3/5,301,比利时,总值,329047
2025/3/5,302,丹麦,总值,108846
2025/3/5,327,波兰,总值,51506
2025/3/5,129,菲律宾,总值,1004987
2025/3/5,305,法国,总值,635372
2025/3/5,304,德国,总值,2750014
2025/3/5,145,哈萨克斯坦,总值,206957
2025/3/5,133,韩国,总值,6552484
2025/3/5,318,芬兰,总值,276979
2025/3/5,122,马来西亚,总值,1667908
2025/3/5,328,罗马尼亚,总值,19075
2025/3/5,501,加拿大,总值,719738
2025/3/5,244,南非,总值,299744
2025/3/5,330,瑞典,总值,283558
2025/3/5,116,日本,总值,8794988
2025/3/5,331,瑞士,总值,344128
2025/3/5,704,欧洲联盟,总值,6407091
2025/3/5,131,沙特阿拉伯,总值,987371
2025/3/5,136,泰国,总值,1119310
2025/3/5,137,土耳其,总值,41562
2025/3/5,347,乌克兰,总值,46455
2025/3/5,312,西班牙,总值,179894
2025/3/5,609,新西兰,总值,132643
2025/3/5,132,新加坡,总值,1325828
2025/3/5,112,印度尼西亚,总值,725015
2025/3/5,110,香港,总值,1164687
2025/3/5,111,印度,总值,1176295
2025/3/5,307,意大利,总值,620054
2025/3/5,141,越南,总值,265433
2025/3/5,303,英国,总值,491653
2025/3/5,412,智利,总值,304555
2025/3/5,109,朝鲜,总值,54789
2025/3/5,113,伊朗,总值,414544
2025/3/5,121,澳门,总值,17111
2025/3/5,344,俄罗斯联邦,总值,1397013
2025/3/5,106,缅甸,总值,47913
2025/3/5,143,台湾省,总值,6033825
2025/3/5,309,荷兰,总值,258497
2025/3/5,502,美国,总值,4541559
2025/4/5,402,阿根廷,总值,156484
2025/4/5,138,阿拉伯联合酋长国,总值,243902
2025/4/5,601,澳大利亚,总值,1500189
2025/4/5,410,巴西,总值,794607
2025/4/5,315,奥地利,总值,134317
2025/4/5,127,巴基斯坦,总值,77249
2025/4/5,301,比利时,总值,347008
2025/4/5,302,丹麦,总值,116906
2025/4/5,327,波兰,总值,35966
2025/4/5,129,菲律宾,总值,936702
2025/4/5,305,法国,总值,1135742
2025/4/5,304,德国,总值,2584428
2025/4/5,145,哈萨克斯坦,总值,234666
2025/4/5,133,韩国,总值,6489506
2025/4/5,318,芬兰,总值,217998
2025/4/5,122,马来西亚,总值,1654709
2025/4/5,328,罗马尼亚,总值,31092
2025/4/5,501,加拿大,总值,776358
2025/4/5,244,南非,总值,295336
2025/4/5,330,瑞典,总值,270694
2025/4/5,116,日本,总值,8841953
2025/4/5,331,瑞士,总值,356240
2025/4/5,704,欧洲联盟,总值,6650206
2025/4/5,131,沙特阿拉伯,总值,1110005
2025/4/5,136,泰国,总值,1133742
2025/4/5,110,香港,总值,1166808
2025/4/5,137,土耳其,总值,53988
2025/4/5,347,乌克兰,总值,50130
2025/4/5,312,西班牙,总值,186414
2025/4/5,609,新西兰,总值,116759
2025/4/5,132,新加坡,总值,1505177
2025/4/5,112,印度尼西亚,总值,752387
2025/4/5,303,英国,总值,505276
2025/4/5,111,印度,总值,1005002
2025/4/5,307,意大利,总值,605220
2025/4/5,141,越南,总值,218729
2025/4/5,412,智利,总值,523386
2025/4/5,106,缅甸,总值,32291
2025/4/5,143,台湾省,总值,6384688
2025/4/5,121,澳门,总值,18351
2025/4/5,344,俄罗斯联邦,总值,1527475
2025/4/5,109,朝鲜,总值,51744
2025/4/5,309,荷兰,总值,237811
2025/4/5,502,美国,总值,4416071
2025/4/5,113,伊朗,总值,639915
2025/5/5,402,阿根廷,总值,177187
2025/5/5,138,阿拉伯联合酋长国,总值,123892
2025/5/5,601,澳大利亚,总值,1255518
2025/5/5,315,奥地利,总值,117127
2025/5/5,410,巴西,总值,688732
2025/5/5,127,巴基斯坦,总值,66037
2025/5/5,301,比利时,总值,287556
2025/5/5,304,德国,总值,2137205
2025/5/5,302,丹麦,总值,102444
2025/5/5,327,波兰,总值,59139
2025/5/5,129,菲律宾,总值,931658
2025/5/5,305,法国,总值,582775
2025/5/5,145,哈萨克斯坦,总值,275049
2025/5/5,133,韩国,总值,5837323
2025/5/5,318,芬兰,总值,187296
2025/5/5,122,马来西亚,总值,1436970
2025/5/5,328,罗马尼亚,总值,24747
2025/5/5,501,加拿大,总值,671751
2025/5/5,244,南非,总值,324737
2025/5/5,330,瑞典,总值,259569
2025/5/5,116,日本,总值,6866675
2025/5/5,331,瑞士,总值,288682
2025/5/5,704,欧洲联盟,总值,5315849
2025/5/5,137,土耳其,总值,51100
2025/5/5,131,沙特阿拉伯,总值,832113
2025/5/5,136,泰国,总值,1097818
2025/5/5,110,香港,总值,939842
2025/5/5,347,乌克兰,总值,60200
2025/5/5,312,西班牙,总值,151942
2025/5/5,609,新西兰,总值,105599
2025/5/5,132,新加坡,总值,1231188
2025/5/5,112,印度尼西亚,总值,659731
2025/5/5,303,英国,总值,418618
2025/5/5,111,印度,总值,896271
2025/5/5,307,意大利,总值,564369
2025/5/5,141,越南,总值,162062
2025/5/5,412,智利,总值,403419
2025/5/5,113,伊朗,总值,554048
2025/5/5,109,朝鲜,总值,36003
2025/5/5,344,俄罗斯联邦,总值,1350510
2025/5/5,143,台湾省,总值,5510293
2025/5/5,121,澳门,总值,19567
2025/5/5,106,缅甸,总值,29599
2025/5/5,502,美国,总值,3848826
2025/5/5,309,荷兰,总值,213912
2025/6/5,402,阿根廷,总值,593443
2025/6/5,138,阿拉伯联合酋长国,总值,174986
2025/6/5,601,澳大利亚,总值,1519299
2025/6/5,315,奥地利,总值,110649
2025/6/5,410,巴西,总值,775644
2025/6/5,327,波兰,总值,61885
2025/6/5,127,巴基斯坦,总值,78376
2025/6/5,301,比利时,总值,372380
2025/6/5,304,德国,总值,2514583
2025/6/5,302,丹麦,总值,105572
2025/6/5,305,法国,总值,707798
2025/6/5,129,菲律宾,总值,1132829
2025/6/5,145,哈萨克斯坦,总值,249983
2025/6/5,133,韩国,总值,6574715
2025/6/5,318,芬兰,总值,228914
2025/6/5,122,马来西亚,总值,1660739
2025/6/5,328,罗马尼亚,总值,37944
2025/6/5,501,加拿大,总值,646910
2025/6/5,704,欧洲联盟,总值,6214262
2025/6/5,244,南非,总值,320340
2025/6/5,330,瑞典,总值,268798
2025/6/5,116,日本,总值,8518803
2025/6/5,331,瑞士,总值,362651
2025/6/5,137,土耳其,总值,64384
2025/6/5,131,沙特阿拉伯,总值,1015543
2025/6/5,136,泰国,总值,1163712
2025/6/5,110,香港,总值,1081340
2025/6/5,347,乌克兰,总值,148478
2025/6/5,312,西班牙,总值,207392
2025/6/5,609,新西兰,总值,130327
2025/6/5,132,新加坡,总值,1405959
2025/6/5,112,印度尼西亚,总值,632940
2025/6/5,111,印度,总值,826450
2025/6/5,303,英国,总值,468294
2025/6/5,307,意大利,总值,648179
2025/6/5,141,越南,总值,220976
2025/6/5,412,智利,总值,445164
2025/6/5,106,缅甸,总值,27574
2025/6/5,143,台湾省,总值,6019439
2025/6/5,344,俄罗斯联邦,总值,1317339
2025/6/5,121,澳门,总值,21902
2025/6/5,113,伊朗,总值,701492
2025/6/5,502,美国,总值,4211904
2025/6/5,109,朝鲜,总值,40906
2025/6/5,309,荷兰,总值,260920
2025/7/5,402,阿根廷,总值,588558
2025/7/5,127,巴基斯坦,总值,85403
2025/7/5,138,阿拉伯联合酋长国,总值,71167
2025/7/5,601,澳大利亚,总值,1402348
2025/7/5,315,奥地利,总值,138741
2025/7/5,410,巴西,总值,985042
2025/7/5,327,波兰,总值,58065
2025/7/5,301,比利时,总值,349073
2025/7/5,304,德国,总值,2682188
2025/7/5,302,丹麦,总值,102002
2025/7/5,318,芬兰,总值,214533
2025/7/5,305,法国,总值,812830
2025/7/5,129,菲律宾,总值,1049773
2025/7/5,145,哈萨克斯坦,总值,184021
2025/7/5,133,韩国,总值,6364191
2025/7/5,122,马来西亚,总值,1579762
2025/7/5,328,罗马尼亚,总值,22661
2025/7/5,501,加拿大,总值,534569
2025/7/5,704,欧洲联盟,总值,6399608
2025/7/5,244,南非,总值,326650
2025/7/5,330,瑞典,总值,266322
2025/7/5,116,日本,总值,8365803
2025/7/5,131,沙特阿拉伯,总值,1194267
2025/7/5,331,瑞士,总值,311839
2025/7/5,136,泰国,总值,1159760
2025/7/5,137,土耳其,总值,70854
2025/7/5,110,香港,总值,1006902
2025/7/5,347,乌克兰,总值,67082
2025/7/5,312,西班牙,总值,162132
2025/7/5,609,新西兰,总值,121347
2025/7/5,132,新加坡,总值,1324327
2025/7/5,307,意大利,总值,634100
2025/7/5,111,印度,总值,650047
2025/7/5,112,印度尼西亚,总值,611281
2025/7/5,303,英国,总值,452133
2025/7/5,141,越南,总值,169548
2025/7/5,412,智利,总值,445073
2025/7/5,502,美国,总值,3987131
2025/7/5,113,伊朗,总值,540543
2025/7/5,109,朝鲜,总值,48807
2025/7/5,344,俄罗斯联邦,总值,1424069
2025/7/5,143,台湾省,总值,5965283
2025/7/5,309,荷兰,总值,249535
2025/7/5,121,澳门,总值,30275
2025/7/5,106,缅甸,总值,25930
2025/8/5,402,阿根廷,总值,666392
2025/8/5,127,巴基斯坦,总值,76024
2025/8/5,138,阿拉伯联合酋长国,总值,148213
2025/8/5,601,澳大利亚,总值,1418214
2025/8/5,315,奥地利,总值,202618
2025/8/5,410,巴西,总值,1166111
2025/8/5,327,波兰,总值,35281
2025/8/5,301,比利时,总值,334114
2025/8/5,304,德国,总值,2816438
2025/8/5,302,丹麦,总值,105546
2025/8/5,318,芬兰,总值,200664
2025/8/5,305,法国,总值,824159
2025/8/5,129,菲律宾,总值,1221132
2025/8/5,145,哈萨克斯坦,总值,281745
2025/8/5,133,韩国,总值,6591908
2025/8/5,122,马来西亚,总值,1717681
2025/8/5,328,罗马尼亚,总值,19122
2025/8/5,501,加拿大,总值,594606
2025/8/5,704,欧洲联盟,总值,6595666
2025/8/5,244,南非,总值,291661
2025/8/5,330,瑞典,总值,277764
2025/8/5,116,日本,总值,8677399
2025/8/5,131,沙特阿拉伯,总值,960850
2025/8/5,331,瑞士,总值,328163
2025/8/5,136,泰国,总值,1212675
2025/8/5,137,土耳其,总值,51034
2025/8/5,132,新加坡,总值,1522389
2025/8/5,110,香港,总值,1052569
2025/8/5,347,乌克兰,总值,67452
2025/8/5,312,西班牙,总值,213621
2025/8/5,609,新西兰,总值,91970
2025/8/5,307,意大利,总值,614321
2025/8/5,111,印度,总值,632097
2025/8/5,303,英国,总值,450376
2025/8/5,112,印度尼西亚,总值,641455
2025/8/5,141,越南,总值,206339
2025/8/5,412,智利,总值,503395
2025/8/5,106,缅甸,总值,15623
2025/8/5,113,伊朗,总值,544471
2025/8/5,109,朝鲜,总值,45618
2025/8/5,502,美国,总值,4290126
2025/8/5,344,俄罗斯联邦,总值,1320220
2025/8/5,143,台湾省,总值,6599386
2025/8/5,309,荷兰,总值,267574
2025/8/5,121,澳门,总值,26376
2025/9/5,402,阿根廷,总值,357671
2025/9/5,138,阿拉伯联合酋长国,总值,228498
2025/9/5,315,奥地利,总值,151000
2025/9/5,601,澳大利亚,总值,1475068
2025/9/5,127,巴基斯坦,总值,72723
2025/9/5,410,巴西,总值,899927
2025/9/5,301,比利时,总值,414361
2025/9/5,327,波兰,总值,54335
2025/9/5,302,丹麦,总值,97998
2025/9/5,304,德国,总值,3154577
2025/9/5,305,法国,总值,792719
2025/9/5,129,菲律宾,总值,1352437
2025/9/5,318,芬兰,总值,230158
2025/9/5,145,哈萨克斯坦,总值,313411
2025/9/5,133,韩国,总值,7325897
2025/9/5,501,加拿大,总值,609726
2025/9/5,328,罗马尼亚,总值,15667
2025/9/5,122,马来西亚,总值,1997341
2025/9/5,244,南非,总值,233011
2025/9/5,704,欧洲联盟,总值,7150803
2025/9/5,116,日本,总值,9508228
2025/9/5,330,瑞典,总值,275082
2025/9/5,331,瑞士,总值,343301
2025/9/5,131,沙特阿拉伯,总值,1316312
2025/9/5,136,泰国,总值,1335294
2025/9/5,137,土耳其,总值,52295
2025/9/5,347,乌克兰,总值,97318
2025/9/5,312,西班牙,总值,228402
2025/9/5,110,香港,总值,1063657
2025/9/5,132,新加坡,总值,1469318
2025/9/5,609,新西兰,总值,90040
2025/9/5,307,意大利,总值,632005
2025/9/5,111,印度,总值,795167
2025/9/5,112,印度尼西亚,总值,889175
2025/9/5,303,英国,总值,536363
2025/9/5,141,越南,总值,290899
2025/9/5,412,智利,总值,344188
2025/9/5,109,朝鲜,总值,53069
2025/9/5,143,台湾省,总值,7102178
2025/9/5,344,俄罗斯联邦,总值,1426666
2025/9/5,502,美国,总值,4336251
2025/9/5,309,荷兰,总值,288921
2025/9/5,106,缅甸,总值,13226
2025/9/5,121,澳门,总值,25821
2025/9/5,113,伊朗,总值,717977
2025/10/5,402,阿根廷,总值,310066
2025/10/5,315,奥地利,总值,115828
